"attachments/0/style_list/0","attachments/0/style_list/1","commentUrl","commentsCount","date","facebookId","facebookUrl","feedbackId","id","likesCount","pageAdLibrary/id","pageAdLibrary/is_business_page_active","postTitle","profileId","profileName","profilePicture","profileUrl","replyToCommentId","text","threadingDepth"
,,"https://www.facebook.com/atty.darz/posts/pfbid03577YZm83oNsa58oCnvStwZka6xXVcbXCzMiz5qLGQDi68d13mJsDj6hjihfYh2UKl?comment_id=364640009957742","53","2024-05-29T02:02:30.000Z","754795630141521","https://www.facebook.com/atty.darz/posts/pfbid03577YZm83oNsa58oCnvStwZka6xXVcbXCzMiz5qLGQDi68d13mJsDj6hjihfYh2UKl","ZmVlZGJhY2s6NzU0Nzk1NjMwMTQxNTIxXzM2NDY0MDAwOTk1Nzc0Mg==","Y29tbWVudDo3NTQ3OTU2MzAxNDE1MjFfMzY0NjQwMDA5OTU3NzQy","196","109679174639488","false","Divorce is an option. 
 
It is funny that those who oppose divorce are product of successful marriages and typical Filipino family settings.
 
Let those who are suffering from failed marriages decide what is best for them. Divorce may not be the best solution, but it is an option that gives a breath of fresh air to those living in traumatic, toxic, and life-threatening marriages. 

Walay problema if dili ta ganahan og divorce, but let's give this option to those who badly need it and give them access to affordable divorce, eapil nalang pod annulment.","100068332716846","Atty. Darwin Tenaja","https://scontent.fvdc6-1.fna.fbcdn.net/v/t39.30808-1/272438458_250839393870483_1841507599032832073_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=1&ccb=1-7&_nc_sid=5f2048&_nc_ohc=LlDsV5vICWUQ7kNvgFSGTw0&_nc_ht=scontent.fvdc6-1.fna&oh=00_AYCuP6PRzz5vviQFELQdX5eeWsHXKHO5W2h9J6FEEhbp5A&oe=665D0AA8","https://www.facebook.com/atty.darz",,"Maybe not everyone knows that when a priest or pastor celebrates marital rites, he uses two (2) licenses or authorities. One is from the church ( derived from a Canon Law when you are a Roman Catholic), and the other is from the civil or legal aspect (from the Civil and Family Code). The Divorce Bill will only affect the 2nd authority or legal aspect of the marriage. With regard to the 1st authority, or the Church, it will remain valid and intact based on different religious doctrines. So what will happen is that you are divorced in the civil aspect but not in the eyes of your church. In other words, why are we using faith and church doctrines when the subject of the Bill is merely the civil or legal aspect of marriage and not the religious sense? The latter remain intact and valid. 

Thanks for the nice and healthy exchange of opinions.",
,,"https://www.facebook.com/atty.darz/posts/pfbid03577YZm83oNsa58oCnvStwZka6xXVcbXCzMiz5qLGQDi68d13mJsDj6hjihfYh2UKl?comment_id=1692358581534531","4","2024-05-28T05:41:39.000Z","754795630141521","https://www.facebook.com/atty.darz/posts/pfbid03577YZm83oNsa58oCnvStwZka6xXVcbXCzMiz5qLGQDi68d13mJsDj6hjihfYh2UKl","ZmVlZGJhY2s6NzU0Nzk1NjMwMTQxNTIxXzE2OTIzNTg1ODE1MzQ1MzE=","Y29tbWVudDo3NTQ3OTU2MzAxNDE1MjFfMTY5MjM1ODU4MTUzNDUzMQ==","306","109679174639488","false","Divorce is an option. 
 
It is funny that those who oppose divorce are product of successful marriages and typical Filipino family settings.
 
Let those who are suffering from failed marriages decide what is best for them. Divorce may not be the best solution, but it is an option that gives a breath of fresh air to those living in traumatic, toxic, and life-threatening marriages. 

Walay problema if dili ta ganahan og divorce, but let's give this option to those who badly need it and give them access to affordable divorce, eapil nalang pod annulment.","1048122396","Kevin Ray N. Chua","https://scontent.fvdc6-1.fna.fbcdn.net/v/t39.30808-1/440191609_10228880037519552_5739192535908210232_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=1&ccb=1-7&_nc_sid=5f2048&_nc_ohc=96VKgVxDCoMQ7kNvgEekFCX&_nc_ht=scontent.fvdc6-1.fna&oh=00_AYBHeicQsElt7k3LSAFhyICs7jsWxql4SB_LRNTAdWsP1Q&oe=665CE944","https://www.facebook.com/kevinraychua",,"I have no problem with having the Church help solve abusive marriages within its own processes, just let the State have its own process as well that is made available to EVERYONE.

Pass The DIVORCE BILL Now!",
,,"https://www.facebook.com/atty.darz/posts/pfbid03577YZm83oNsa58oCnvStwZka6xXVcbXCzMiz5qLGQDi68d13mJsDj6hjihfYh2UKl?comment_id=773701351216003","34","2024-05-28T22:07:40.000Z","754795630141521","https://www.facebook.com/atty.darz/posts/pfbid03577YZm83oNsa58oCnvStwZka6xXVcbXCzMiz5qLGQDi68d13mJsDj6hjihfYh2UKl","ZmVlZGJhY2s6NzU0Nzk1NjMwMTQxNTIxXzc3MzcwMTM1MTIxNjAwMw==","Y29tbWVudDo3NTQ3OTU2MzAxNDE1MjFfNzczNzAxMzUxMjE2MDAz","66","109679174639488","false","Divorce is an option. 
 
It is funny that those who oppose divorce are product of successful marriages and typical Filipino family settings.
 
Let those who are suffering from failed marriages decide what is best for them. Divorce may not be the best solution, but it is an option that gives a breath of fresh air to those living in traumatic, toxic, and life-threatening marriages. 

Walay problema if dili ta ganahan og divorce, but let's give this option to those who badly need it and give them access to affordable divorce, eapil nalang pod annulment.","100008681521931","Castillon JangJang","https://scontent.fvdc6-1.fna.fbcdn.net/v/t39.30808-1/415017218_3314701172162568_4739762538389397694_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_ohc=Z9fMsJDEwKAQ7kNvgFRa4K2&_nc_ht=scontent.fvdc6-1.fna&oh=00_AYBxxeX8tlnCQcOVz8dVHMe1_pFLxRrsUN9wDhB2sGTvig&oe=665CF2DF",,,"Failure man ang marriage sa akong parents but I say NO TO DIVORCE! We were witnesses sa akong igsuon how bad it was. Marriage becomes a failure when it is started wrong. That's why in weddings naay 3 ka kandila. Kay si Lord ang isa na naa sa tunga. Karon kay wala naman si Lord sa tunga sa duha ka binuhat unsa may result? My marriage is also not perfect. There have been times moingon ko dili nko. But the word of the Lord keeps telling me to hold on. Mao nang giingon na paminyo minyo dili man diay kaya barugan ang gipanumpaan na forever. Kay sa tinuod lang kay Lord ra naay forever. Ug ipasa ni, sayon nalang kaau makig kasal daun bulag inig human. Nuon kaming mga naa sa events malipay guro mi kay daghan na mag avail sa among services. 🥴",
"photo","fallback","https://www.facebook.com/atty.darz/posts/pfbid03577YZm83oNsa58oCnvStwZka6xXVcbXCzMiz5qLGQDi68d13mJsDj6hjihfYh2UKl?comment_id=1712908966145736","82","2024-05-28T06:47:37.000Z","754795630141521","https://www.facebook.com/atty.darz/posts/pfbid03577YZm83oNsa58oCnvStwZka6xXVcbXCzMiz5qLGQDi68d13mJsDj6hjihfYh2UKl","ZmVlZGJhY2s6NzU0Nzk1NjMwMTQxNTIxXzE3MTI5MDg5NjYxNDU3MzY=","Y29tbWVudDo3NTQ3OTU2MzAxNDE1MjFfMTcxMjkwODk2NjE0NTczNg==","189","109679174639488","false","Divorce is an option. 
 
It is funny that those who oppose divorce are product of successful marriages and typical Filipino family settings.
 
Let those who are suffering from failed marriages decide what is best for them. Divorce may not be the best solution, but it is an option that gives a breath of fresh air to those living in traumatic, toxic, and life-threatening marriages. 

Walay problema if dili ta ganahan og divorce, but let's give this option to those who badly need it and give them access to affordable divorce, eapil nalang pod annulment.","100011667386568","Miljoy Mijaru","https://scontent.fvdc6-1.fna.fbcdn.net/v/t39.30808-1/444503487_2117084975357061_4758374031871555355_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_ohc=Jvg3z9M3EAEQ7kNvgFyxpbY&_nc_ht=scontent.fvdc6-1.fna&oh=00_AYCvfRNmfsy55ngcpNqiOrsbTYblD8Ku-bZ68_dX3b2K8A&oe=665D1A95",,,"Yes ofcourse; I am catholic and I support divorce 

DIVORCE PILIPINAS (Coalition) 
(one of all of the HT below)
#ReinstituteDivorce
#DivorceIsMyHumanRight
#DivorcePilipinas
#LifeMatters
#FreeUs
PA JEDI",
,,"https://www.facebook.com/atty.darz/posts/pfbid03577YZm83oNsa58oCnvStwZka6xXVcbXCzMiz5qLGQDi68d13mJsDj6hjihfYh2UKl?comment_id=1562802600963378","1","2024-05-29T05:29:28.000Z","754795630141521","https://www.facebook.com/atty.darz/posts/pfbid03577YZm83oNsa58oCnvStwZka6xXVcbXCzMiz5qLGQDi68d13mJsDj6hjihfYh2UKl","ZmVlZGJhY2s6NzU0Nzk1NjMwMTQxNTIxXzE1NjI4MDI2MDA5NjMzNzg=","Y29tbWVudDo3NTQ3OTU2MzAxNDE1MjFfMTU2MjgwMjYwMDk2MzM3OA==","8","109679174639488","false","Divorce is an option. 
 
It is funny that those who oppose divorce are product of successful marriages and typical Filipino family settings.
 
Let those who are suffering from failed marriages decide what is best for them. Divorce may not be the best solution, but it is an option that gives a breath of fresh air to those living in traumatic, toxic, and life-threatening marriages. 

Walay problema if dili ta ganahan og divorce, but let's give this option to those who badly need it and give them access to affordable divorce, eapil nalang pod annulment.","1273673907","Agus Ostting Ancog","https://scontent.fvdc6-1.fna.fbcdn.net/v/t39.30808-1/429765048_10225174039439434_1247933332830035014_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=hdYiRZm9DN8Q7kNvgFJGvEc&_nc_ht=scontent.fvdc6-1.fna&oh=00_AYD8e1oYRYfms6Lt5V_CTs1XwuyLia8g2FOEJD-OPBnCSA&oe=665D1917",,,"naay barato kaayou AFFIDAVIT OF LOSS, kani nalang nga option, dosentos ray bajad notaryo 😆😂😁",
"photo","fallback","https://www.facebook.com/atty.darz/posts/pfbid03577YZm83oNsa58oCnvStwZka6xXVcbXCzMiz5qLGQDi68d13mJsDj6hjihfYh2UKl?comment_id=1522910858630209",,"2024-05-29T10:12:04.000Z","754795630141521","https://www.facebook.com/atty.darz/posts/pfbid03577YZm83oNsa58oCnvStwZka6xXVcbXCzMiz5qLGQDi68d13mJsDj6hjihfYh2UKl","ZmVlZGJhY2s6NzU0Nzk1NjMwMTQxNTIxXzE1MjI5MTA4NTg2MzAyMDk=","Y29tbWVudDo3NTQ3OTU2MzAxNDE1MjFfMTUyMjkxMDg1ODYzMDIwOQ==","3","109679174639488","false","Divorce is an option. 
 
It is funny that those who oppose divorce are product of successful marriages and typical Filipino family settings.
 
Let those who are suffering from failed marriages decide what is best for them. Divorce may not be the best solution, but it is an option that gives a breath of fresh air to those living in traumatic, toxic, and life-threatening marriages. 

Walay problema if dili ta ganahan og divorce, but let's give this option to those who badly need it and give them access to affordable divorce, eapil nalang pod annulment.","100000234935195","Markus Paulus","https://scontent.fvdc6-1.fna.fbcdn.net/v/t1.6435-1/43012817_2392833077401167_5345910321196302336_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_ohc=CHWMpgewv9gQ7kNvgGp7Qhl&_nc_ht=scontent.fvdc6-1.fna&oh=00_AYBq8hJU4nLf3wEsAD4eW_7jhOlt8dzkJmXownPKKcNP4w&oe=667E9A8E",,,,
,,"https://www.facebook.com/atty.darz/posts/pfbid03577YZm83oNsa58oCnvStwZka6xXVcbXCzMiz5qLGQDi68d13mJsDj6hjihfYh2UKl?comment_id=2665224670305057","5","2024-05-29T05:03:59.000Z","754795630141521","https://www.facebook.com/atty.darz/posts/pfbid03577YZm83oNsa58oCnvStwZka6xXVcbXCzMiz5qLGQDi68d13mJsDj6hjihfYh2UKl","ZmVlZGJhY2s6NzU0Nzk1NjMwMTQxNTIxXzI2NjUyMjQ2NzAzMDUwNTc=","Y29tbWVudDo3NTQ3OTU2MzAxNDE1MjFfMjY2NTIyNDY3MDMwNTA1Nw==","10","109679174639488","false","Divorce is an option. 
 
It is funny that those who oppose divorce are product of successful marriages and typical Filipino family settings.
 
Let those who are suffering from failed marriages decide what is best for them. Divorce may not be the best solution, but it is an option that gives a breath of fresh air to those living in traumatic, toxic, and life-threatening marriages. 

Walay problema if dili ta ganahan og divorce, but let's give this option to those who badly need it and give them access to affordable divorce, eapil nalang pod annulment.","1465763206","Kyrie Eleison Manuales Icaonapo","https://scontent.fvdc6-1.fna.fbcdn.net/v/t39.30808-1/431715412_10233235215330196_6611201993489697891_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=100&ccb=1-7&_nc_sid=5f2048&_nc_ohc=0Ak9zV7nM8sQ7kNvgGRFkP3&_nc_ht=scontent.fvdc6-1.fna&oh=00_AYALVd9fwFmZjJSx9EbT5m-jzI54PmZSyyAYC7eG5G_oVA&oe=665D0B10","https://www.facebook.com/iamkyrie27",,"Libog btaw ko aning uban... di sila gusto sa divorce.. dayon ilang ipasangil ky labag daw sa sugo sa Ginoo... 
Luwasa sa inyong kaugalingon oi...
yaw ra kaau hunahunaa ng problema sa uban...
ipokrito ra pud kaau ta ana nga part nga  concern kunuhay ta sa uban.",
,,"https://www.facebook.com/atty.darz/posts/pfbid03577YZm83oNsa58oCnvStwZka6xXVcbXCzMiz5qLGQDi68d13mJsDj6hjihfYh2UKl?comment_id=790100269539554","1","2024-05-29T07:29:16.000Z","754795630141521","https://www.facebook.com/atty.darz/posts/pfbid03577YZm83oNsa58oCnvStwZka6xXVcbXCzMiz5qLGQDi68d13mJsDj6hjihfYh2UKl","ZmVlZGJhY2s6NzU0Nzk1NjMwMTQxNTIxXzc5MDEwMDI2OTUzOTU1NA==","Y29tbWVudDo3NTQ3OTU2MzAxNDE1MjFfNzkwMTAwMjY5NTM5NTU0","5","109679174639488","false","Divorce is an option. 
 
It is funny that those who oppose divorce are product of successful marriages and typical Filipino family settings.
 
Let those who are suffering from failed marriages decide what is best for them. Divorce may not be the best solution, but it is an option that gives a breath of fresh air to those living in traumatic, toxic, and life-threatening marriages. 

Walay problema if dili ta ganahan og divorce, but let's give this option to those who badly need it and give them access to affordable divorce, eapil nalang pod annulment.","1214014993","GMayer ChilliPepper","https://scontent.fvdc6-1.fna.fbcdn.net/v/t39.30808-1/445428415_10225461959475267_7365550133111674835_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_ohc=ReE8dBNi7SgQ7kNvgEc74qb&_nc_ht=scontent.fvdc6-1.fna&oh=00_AYCa6HZCWcvDnbHlmfOTo987w4u6_3V4iQp-rDj96GVnpA&oe=665D1674",,,"Sana hwag ng magpakasal sa church kung maniniwala ka rin naman sa divorce. Naglolokohan lang pala ang dalawa sa mga wedding vows at sa pagpirma sa harap ng altar.",
,,"https://www.facebook.com/atty.darz/posts/pfbid03577YZm83oNsa58oCnvStwZka6xXVcbXCzMiz5qLGQDi68d13mJsDj6hjihfYh2UKl?comment_id=1678811662859640","50","2024-05-28T09:27:16.000Z","754795630141521","https://www.facebook.com/atty.darz/posts/pfbid03577YZm83oNsa58oCnvStwZka6xXVcbXCzMiz5qLGQDi68d13mJsDj6hjihfYh2UKl","ZmVlZGJhY2s6NzU0Nzk1NjMwMTQxNTIxXzE2Nzg4MTE2NjI4NTk2NDA=","Y29tbWVudDo3NTQ3OTU2MzAxNDE1MjFfMTY3ODgxMTY2Mjg1OTY0MA==","59","109679174639488","false","Divorce is an option. 
 
It is funny that those who oppose divorce are product of successful marriages and typical Filipino family settings.
 
Let those who are suffering from failed marriages decide what is best for them. Divorce may not be the best solution, but it is an option that gives a breath of fresh air to those living in traumatic, toxic, and life-threatening marriages. 

Walay problema if dili ta ganahan og divorce, but let's give this option to those who badly need it and give them access to affordable divorce, eapil nalang pod annulment.","100015620087354","Elizabeth Rasallo","https://scontent.fvdc6-1.fna.fbcdn.net/v/t39.30808-1/436255997_1691079038089416_5178364230305616114_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_ohc=iCrsZP-TFCgQ7kNvgFQhaYB&_nc_ht=scontent.fvdc6-1.fna&oh=00_AYA8SawseTb1tp2HJNoGVVspZKT1fQSPtcp1xZW8GWcRYw&oe=665CF14A","https://www.facebook.com/elizabeth.rasallo",,"Yes to divorce. From my experience mas ok gyud naay divorce kay ako mismo ga suffer ko saakong marriage.",
,,"https://www.facebook.com/atty.darz/posts/pfbid03577YZm83oNsa58oCnvStwZka6xXVcbXCzMiz5qLGQDi68d13mJsDj6hjihfYh2UKl?comment_id=812404537121121",,"2024-05-29T07:45:58.000Z","754795630141521","https://www.facebook.com/atty.darz/posts/pfbid03577YZm83oNsa58oCnvStwZka6xXVcbXCzMiz5qLGQDi68d13mJsDj6hjihfYh2UKl","ZmVlZGJhY2s6NzU0Nzk1NjMwMTQxNTIxXzgxMjQwNDUzNzEyMTEyMQ==","Y29tbWVudDo3NTQ3OTU2MzAxNDE1MjFfODEyNDA0NTM3MTIxMTIx","3","109679174639488","false","Divorce is an option. 
 
It is funny that those who oppose divorce are product of successful marriages and typical Filipino family settings.
 
Let those who are suffering from failed marriages decide what is best for them. Divorce may not be the best solution, but it is an option that gives a breath of fresh air to those living in traumatic, toxic, and life-threatening marriages. 

Walay problema if dili ta ganahan og divorce, but let's give this option to those who badly need it and give them access to affordable divorce, eapil nalang pod annulment.","100001785624913","Ri Chel","https://scontent.fvdc6-1.fna.fbcdn.net/v/t39.30808-1/405267838_6775152412554212_5446196003798813716_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_ohc=mz_-TL1sRIgQ7kNvgEAWCaN&_nc_ht=scontent.fvdc6-1.fna&oh=00_AYD82UWLr8oU5j4TS911EUeGOUUxzYXCXoRzvj0wnOyKMQ&oe=665CF1DE","https://www.facebook.com/itsmerichel",,"I am a Catholic believer but this time I say yes to Divorce..",
